bus0,bus1,v_nom,num_parallel,length,carrier,dc,type,s_max_pu,s_nom,build_year,i_nom,capital_cost,s_nom_extendable,s_nom_min,s_nom_max,x,r,b,x_pu_eff,r_pu_eff,s_nom_opt,g,s_nom_mod,lifetime,terrain_factor,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,country,country_bus1
DE0 0,FR0 6,380.0,3.8815789473684217,174.43888402862837,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,6591.319348203363,0,2.58,7346.845803766829,True,6591.319348203365,26591.319348203364,11.055286019658425,1.3482056121534665,0.0029354905214935,7.656015249070931e-05,9.336603962281623e-06,6591.319599695463,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,DE,FR
DE0 10,NL0 0,380.0,2.0000000000000004,153.674420802052,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,3396.205223481055,0,2.58,6471.935411870361,True,3396.2052234810553,23396.205223481054,18.901953758652393,2.3051163120307794,0.001332479510764445,0.00013089995677737114,1.596340936309404e-05,4491.297362138091,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,DE,NL
DE0 10,NL0 0,380.0,2.000002812856486,153.674420802052,AC,,Al/St 240/40 4-bundle 380.0,0.7,3396.21,2021,2.58,6470.750336789321,True,3396.21,23396.21,18.901927174448172,2.305113070054655,0.001332481384801262,0.0001308997726762339,1.5963386911735838e-05,4491.303678673871,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,DE,NL
DE0 2,LU0 0,380.0,1.1578947368421053,219.5468771956082,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,1966.2240767521896,0,2.58,9242.918896999921,True,1966.2240767521896,21966.22407675219,46.643732000557854,5.68826000006803,0.001102110913886051,0.000323017534629902,3.939238227193927e-05,2047.1478403378808,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,DE,LU
DE0 2,NL0 0,380.0,6.000000000000002,216.7259596924106,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,10188.615670443165,0,2.58,9127.116248764283,True,10188.615670443167,30188.615670443163,8.885764347388832,1.0836297984620527,0.005637559573682325,6.153576417859302e-05,7.504361485194271e-06,10188.616832322601,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,DE,NL
DE0 4,PL0 0,380.0,4.210526315789474,266.61013683024584,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,7149.905733644326,0,2.58,11227.452446474272,True,7149.9057336443275,27149.905733644326,15.57669724430711,1.899597224915501,0.004866783230269847,0.00010787186457276392,1.3155105435702915e-05,7149.906346181274,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,DE,PL
DE0 5,FR0 6,380.0,2.4013157894736845,244.82477901889243,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,4077.6806137190297,0,2.58,10309.873303571758,True,4077.6806137190297,24077.68061371903,25.080789416642258,3.05863285568808,0.0025487873722488405,0.00017368967740056965,2.1181667975679224e-05,4077.6812454696696,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,DE,FR
DE0 6,DK0 0,380.0,6.000000000000002,284.1050403310735,AC,0.0,Al/St 240/40 4-bundle 380.0,0.7,10188.615670443165,0,2.58,11961.187586036096,True,10188.615670443167,30188.615670443163,11.648306653574009,1.420525201655367,0.007390250306530003,8.066694358430753e-05,9.83743214442775e-06,10188.617268647773,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,DE,DK
DE0 6,DK0 0,380.0,2.000002812856486,284.1050403310735,AC,,Al/St 240/40 4-bundle 380.0,0.7,3396.21,2020,2.58,11964.563725471771,True,3396.21,23396.21,34.94487081326878,4.261569611374242,0.0024634202334622513,0.0002420004903965982,2.9512254926414415e-05,3396.2104830570574,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,DE,DK
DE0 6,DK0 0,380.0,2.000002812856486,284.1050403310735,AC,,Al/St 240/40 4-bundle 380.0,0.7,3396.21,2022,2.58,11964.749268119427,True,3396.21,23396.21,34.94487081326878,4.261569611374242,0.0024634202334622513,0.0002420004903965982,2.9512254926414415e-05,3396.2104830356975,0.0,0.0,inf,1.0,-inf,inf,,0.0,0.0,0.0,0.0,DE,DK
